NAME,DATE,RATINGS,TITLE,REVIEWS
Mc Donalds,07-10-2017,30,It is a McDonald's hard to get in and out of on weekends.,This is just a McDonalds and I have only gone there for coffee. During McDonalds specialty coffee promotions I have been known to whip into this one. But I find it less convenient than some.
Mc Donalds,02-09-2019,20,Never found my phone,I lost my cell phone and after 10 times checking the location in different days I did not find my cell phone. Any way I like the location and the staff.
Mc Donalds,07-10-2017,30,It is a McDonald's hard to get in and out of on weekends.,This is just a McDonalds and I have only gone there for coffee. During McDonalds specialty coffee promotions I have been known to whip into this one. But I find it less convenient than some.
Mc Donalds,19-06-2016,40,Dinner,"good location and quick service all the times when i visited espacially,clean outside of restraunt. i like here as every staffs so nice!!"
Mc Donalds,02-09-2019,40,Never found my phone,I lost my cell phone and after 10 times checking the location in different days I did not find my cell phone. Any way I like the location and the staff.
Mc Donalds,07-10-2017,20,It is a McDonald's hard to get in and out of on weekends.,This is just a McDonalds and I have only gone there for coffee. During McDonalds specialty coffee promotions I have been known to whip into this one. But I find it less convenient than some.
Mc Donalds,19-06-2016,40,Dinner,"good location and quick service all the times when i visited espacially,clean outside of restraunt. i like here as every staffs so nice!!"
Mc Donalds,02-09-2019,10,Never found my phone,I lost my cell phone and after 10 times checking the location in different days I did not find my cell phone. Any way I like the location and the staff.
Mc Donalds,07-10-2017,30,It is a McDonald's hard to get in and out of on weekends.,This is just a McDonalds and I have only gone there for coffee. During McDonalds specialty coffee promotions I have been known to whip into this one. But I find it less convenient than some.
Mc Donalds,19-06-2016,40,Dinner,"good location and quick service all the times when i visited espacially,clean outside of restraunt. i like here as every staffs so nice!!"
Mc Donalds,02-09-2019,10,Never found my phone,I lost my cell phone and after 10 times checking the location in different days I did not find my cell phone. Any way I like the location and the staff.
Mc Donalds,07-10-2017,10,It is a McDonald's hard to get in and out of on weekends.,This is just a McDonalds and I have only gone there for coffee. During McDonalds specialty coffee promotions I have been known to whip into this one. But I find it less convenient than some.
Mc Donalds,19-06-2016,20,Dinner,"good location and quick service all the times when i visited espacially,clean outside of restraunt. i like here as every staffs so nice!!"
